date,title,url,snippet,source,keyword_source,status,flags,score,tags,url_normalized
2025-08-04,Google Alert - Lofi,https://www.google.com/url?rct=j&sa=t&url=https://www.highsnobiety.com/p/havaianas-zellerfeld-3d-printed-flip-flop/&ct=ga&cd=CAEYACoTNTgxMDQyMDEwMzQ4MjQ2NjgzMTIaN2UzM2ZkNjllYmQ3YmJkNjpjb206ZW46VVM&usg=AOvVaw2YYaft4_PGzppJ_iwDqaQM>,"=== News - 5 new results for [Lofi] ===
 
 Havaianas' 3D-Printed Flip-Flop Is Lo-Fi High-Tech
 Highsnobiety
 Havaianas & Zellerfeld's 3D-printed flip-flop is high-tech lo-fi footwear,
 a combo of cutt",Google Alert,lo-fi,pending,,70,#StudioRichCore,https://www.google.com/url?rct=j&sa=t&url=https://www.highsnobiety.com/p/havaianas-zellerfeld-3d-printed-flip-flop/&ct=ga&cd=caeyacotntgxmdqymdewmzq4mjq2njgzmtian2uzm2zknjllymq3ymjknjpjb206zw46vvm&usg=aovvaw2yyaft4_pgzppj_iwdqaqm>
2025-08-04,Google Alert - Lo-Fi,https://www.google.com/url?rct=j&sa=t&url=https://www.highsnobiety.com/p/havaianas-zellerfeld-3d-printed-flip-flop/&ct=ga&cd=CAEYACoUMTQ0OTQ5NDU2MjQ5MTI0MTc0NzQyGjI5OWVmNjc3NDNjODE2NjA6Y29tOmVuOlVT&usg=AOvVaw2YYaft4_PGzppJ_iwDqaQM>,"=== News - 10 new results for [Lo-Fi] ===
 
 Havaianas' 3D-Printed Flip-Flop Is Lo-Fi High-Tech
 Highsnobiety
 Havaianas & Zellerfeld's 3D-printed flip-flop is high-tech lo-fi footwear,
 a combo of cu",Google Alert,lo-fi,pending,,70,#StudioRichCore,https://www.google.com/url?rct=j&sa=t&url=https://www.highsnobiety.com/p/havaianas-zellerfeld-3d-printed-flip-flop/&ct=ga&cd=caeyacoumtq0otq5ndu2mjq5mti0mtc0nzqygji5owvmnjc3ndnjode2nja6y29tomvuolvt&usg=aovvaw2yyaft4_pgzppj_iwdqaqm>
2025-08-05,Google Alert - Lo-Fi,https://www.google.com/url?rct=j&sa=t&url=https://www.forbes.com/sites/danidiplacido/2025/08/04/its-the-end-of-an-era-for-youtubes-lo-fi-girl/&ct=ga&cd=CAEYACoSMzAxNzY0NDczNjQ1OTkwMzYzMhoyOTllZjY3NzQzYzgxNjYwOmNvbTplbjpVUw&usg=AOvVaw1JQ3XSptPgZdfuhD1Of4UI>,"=== News - 10 new results for [Lo-Fi] ===
 
 It's The End Of An Era For YouTube's 'Lofi Girl' - Forbes
 Forbes
 YouTube's Lofi Girl has finally finished her homework and officially
 'graduated' after",Google Alert,lo-fi,pending,,70,#StudioRichCore,https://www.google.com/url?rct=j&sa=t&url=https://www.forbes.com/sites/danidiplacido/2025/08/04/its-the-end-of-an-era-for-youtubes-lo-fi-girl/&ct=ga&cd=caeyacosmzaxnzy0ndcznjq1otkwmzyzmhoyotllzjy3nzqzyzgxnjywomnvbtplbjpvuw&usg=aovvaw1jq3xsptpgzdfuhd1of4ui>
2025-08-05,Google Alert - Lofi,https://www.google.com/url?rct=j&sa=t&url=https://www.forbes.com/sites/danidiplacido/2025/08/04/its-the-end-of-an-era-for-youtubes-lo-fi-girl/&ct=ga&cd=CAEYACoSOTM3ODUxNTY5MTE1NTUxNzM5Mho3ZTMzZmQ2OWViZDdiYmQ2OmNvbTplbjpVUw&usg=AOvVaw1JQ3XSptPgZdfuhD1Of4UI>,"=== News - 7 new results for [Lofi] ===
 
 It's The End Of An Era For YouTube's 'Lofi Girl' - Forbes
 Forbes
 YouTube's Lofi Girl, who stars in “lo-fi hip radio beats to relax/study to”
 playlists and",Google Alert,lo-fi,pending,,75,"#SceneFocus, #StudioRichCore",https://www.google.com/url?rct=j&sa=t&url=https://www.forbes.com/sites/danidiplacido/2025/08/04/its-the-end-of-an-era-for-youtubes-lo-fi-girl/&ct=ga&cd=caeyacosotm3oduxnty5mte1ntuxnzm5mho3ztmzzmq2owvizddiymq2omnvbtplbjpvuw&usg=aovvaw1jq3xsptpgzdfuhd1of4ui>
2025-08-10,Google Alert - Lo-Fi,https://www.google.com/url?rct=j&sa=t&url=https://24hip-hop.com/aguynamed-chai-the-sound-of-vulnerability-with-swagger/&ct=ga&cd=CAEYACoTNzk4MzA4MzA5Mjg5OTA0ODI1OTIaMjk5ZWY2Nzc0M2M4MTY2MDpjb206ZW46VVM&usg=AOvVaw3BlMLl9W5CbXwQwxO8GWiI>,"=== News - 10 new results for [Lo-Fi] ===
 
 aguynamed CHAI! — The Sound of Vulnerability With Swagger - 24Hip-Hop
 24Hip-Hop
 Blending alternative hip-hop, indie rap, and lo-fi soul, CHAI! crafts a",Google Alert,lo-fi,pending,,70,#StudioRichCore,https://www.google.com/url?rct=j&sa=t&url=https://24hip-hop.com/aguynamed-chai-the-sound-of-vulnerability-with-swagger/&ct=ga&cd=caeyacotnzk4mza4mza5mjg5ota0odi1otiamjk5zwy2nzc0m2m4mty2mdpjb206zw46vvm&usg=aovvaw3blmll9w5cbxwqwxo8gwii>
2025-08-11,Google Alert - Lofi,https://www.google.com/url?rct=j&sa=t&url=http://www.msn.com/en-us/tv/news/disney-and-iam8bit-team-up-for-a-lo-fi-gravity-falls-vinyl/ar-AA1HM6vK%3Fapiversion%3Dv2%26noservercache%3D1%26domshim%3D1%26renderwebcomponents%3D1%26wcseo%3D1%26batchservertelemetry%3D1%26noservertelemetry%3D1&ct=ga&cd=CAEYACoUMTI3NzA4MDMxOTI4OTA3NDY0MzkyGjdlMzNmZDY5ZWJkN2JiZDY6Y29tOmVuOlVT&usg=AOvVaw3kGuuuukEjdP9qRvw6PuNU>,"=== News - 2 new results for [Lofi] ===
 
 Disney And iam8bit Team Up For A Lo-Fi 'Gravity Falls' Vinyl - MSN
 MSN
 Following the Grammy-nominated Gravity Falls vinyl, iam8bit and Disney have
 teamed",Google Alert,lo-fi,pending,,70,#StudioRichCore,https://www.google.com/url?rct=j&sa=t&url=http://www.msn.com/en-us/tv/news/disney-and-iam8bit-team-up-for-a-lo-fi-gravity-falls-vinyl/ar-aa1hm6vk%3fapiversion%3dv2%26noservercache%3d1%26domshim%3d1%26renderwebcomponents%3d1%26wcseo%3d1%26batchservertelemetry%3d1%26noservertelemetry%3d1&ct=ga&cd=caeyacoumti3nza4mdmxoti4ota3ndy0mzkygjdlmznmzdy5zwjkn2jizdy6y29tomvuolvt&usg=aovvaw3kguuuukejdp9qrvw6punu>
2025-08-11,Google Alert - Lo-Fi,https://www.google.com/url?rct=j&sa=t&url=http://www.msn.com/en-us/tv/news/disney-and-iam8bit-team-up-for-a-lo-fi-gravity-falls-vinyl/ar-AA1HM6vK%3Fapiversion%3Dv2%26noservercache%3D1%26domshim%3D1%26renderwebcomponents%3D1%26wcseo%3D1%26batchservertelemetry%3D1%26noservertelemetry%3D1&ct=ga&cd=CAEYACoUMTY4MzI4Mjc5OTgxOTcxMDQ1NzcyGjI5OWVmNjc3NDNjODE2NjA6Y29tOmVuOlVT&usg=AOvVaw3kGuuuukEjdP9qRvw6PuNU>,"=== News - 10 new results for [Lo-Fi] ===
 
 Disney And iam8bit Team Up For A Lo-Fi 'Gravity Falls' Vinyl - MSN
 MSN
 Following the Grammy-nominated Gravity Falls vinyl, iam8bit and Disney have
 teame",Google Alert,lo-fi,pending,,70,#StudioRichCore,https://www.google.com/url?rct=j&sa=t&url=http://www.msn.com/en-us/tv/news/disney-and-iam8bit-team-up-for-a-lo-fi-gravity-falls-vinyl/ar-aa1hm6vk%3fapiversion%3dv2%26noservercache%3d1%26domshim%3d1%26renderwebcomponents%3d1%26wcseo%3d1%26batchservertelemetry%3d1%26noservertelemetry%3d1&ct=ga&cd=caeyacoumty4mzi4mjc5otgxotcxmdq1nzcygji5owvmnjc3ndnjode2nja6y29tomvuolvt&usg=aovvaw3kguuuukejdp9qrvw6punu>
2025-08-12,Google Alert - Lofi,https://sonicstate.com/news/2025/07/17/free-lo-fi-acoustic-guitar-instrument,"=== News - 10 new results for [Lofi] ===
",Google Alert,lofi,pending,,50,,https://sonicstate.com/news/2025/07/17/free-lo-fi-acoustic-guitar-instrument
2025-08-12,Google Alert - Lofi,https://kottke.org/25/07/0047112-how-ai-wreaked-havoc-on,"=== News - 10 new results for [Lofi] ===
",Google Alert,lofi,pending,,50,,https://kottke.org/25/07/0047112-how-ai-wreaked-havoc-on
2025-08-12,Google Alert - Lofi,https://www.youtube.com/watch?v=n67L1Mci3ps,"=== News - 10 new results for [Lofi] ===
",Google Alert,lofi,pending,,50,,https://www.youtube.com/watch?v=n67l1mci3ps
2025-08-12,Google Alert - Lofi,https://www.tctimes.com/local-events/?_evDiscoveryPath=/event/107072063n-kelsey-at-lofi,"=== News - 10 new results for [Lofi] ===
",Google Alert,lofi,pending,,50,,https://www.tctimes.com/local-events/?_evdiscoverypath=/event/107072063n-kelsey-at-lofi
2025-08-12,Google Alert - Lofi,https://www.filmibeat.com/bollywood/viral/2025/fans-relive-the-magic-of-seerat-kapoor-s-voice-with-the-new-lofi-version-of-her-debut-song-as-singer-470163.html,"=== News - 10 new results for [Lofi] ===
",Google Alert,lofi,pending,,50,,https://www.filmibeat.com/bollywood/viral/2025/fans-relive-the-magic-of-seerat-kapoor-s-voice-with-the-new-lofi-version-of-her-debut-song-as-singer-470163.html
2025-08-12,Google Alert - Lofi,https://pixelkin.org/2025/07/17/chill-music-game-spirit-city-is-hitting-the-road-er-rails-with-new-dlc/,"=== News - 10 new results for [Lofi] ===
",Google Alert,lofi,pending,,50,,https://pixelkin.org/2025/07/17/chill-music-game-spirit-city-is-hitting-the-road-er-rails-with-new-dlc/
2025-08-12,Google Alert - Lofi,https://www.ainvest.com/news/moonbull-whitelist-nears-full-capacity-driving-urgency-traders-2507/,"=== News - 10 new results for [Lofi] ===
",Google Alert,lofi,pending,,50,,https://www.ainvest.com/news/moonbull-whitelist-nears-full-capacity-driving-urgency-traders-2507/
2025-08-12,Google Alert - Lofi,https://www.msn.com/en-us/music/news/kenyas-star-tops-spotify-global-chart-as-local-artists-break-borders/ar-AA1IMsF1,"=== News - 10 new results for [Lofi] ===
",Google Alert,lofi,pending,,50,,https://www.msn.com/en-us/music/news/kenyas-star-tops-spotify-global-chart-as-local-artists-break-borders/ar-aa1imsf1
2025-08-12,Google Alert - Lofi,https://pitchfork.com/thepitch/the-battle-to-save-the-soul-of-city-pop-from-ai/,"=== News - 10 new results for [Lofi] ===
",Google Alert,lofi,pending,,50,,https://pitchfork.com/thepitch/the-battle-to-save-the-soul-of-city-pop-from-ai/
2025-08-12,Google Alert - Lofi,https://www.backseatmafia.com/track-video-pussy-heaven-unveil-new-single-lily-with-lo-fi-ode-to-johannesburg/,"=== News - 10 new results for [Lofi] ===
",Google Alert,lofi,pending,,50,,https://www.backseatmafia.com/track-video-pussy-heaven-unveil-new-single-lily-with-lo-fi-ode-to-johannesburg/
2025-08-12,Google Alert - Lo-Fi,https://routenote.com/radar/aso-driving-a-warm-and-introspective-lo-fi-instrumental/,"=== News - 10 new results for [Lo-Fi] ===
",Google Alert,lofi,pending,,70,#StudioRichCore,https://routenote.com/radar/aso-driving-a-warm-and-introspective-lo-fi-instrumental/
2025-08-12,Google Alert - Lo-Fi,https://www.nag.co.za/2025/07/21/lo-fi-feels-and-lotus-vibes-bo-path-of-the-teal-lotus-drops-a-free-chill-ep/,"=== News - 10 new results for [Lo-Fi] ===
",Google Alert,lofi,pending,,70,#StudioRichCore,https://www.nag.co.za/2025/07/21/lo-fi-feels-and-lotus-vibes-bo-path-of-the-teal-lotus-drops-a-free-chill-ep/
2025-08-12,Google Alert - Lo-Fi,https://www.ainvest.com/news/stealthex-partners-lofi-100-giveaway-2507/,"=== News - 10 new results for [Lo-Fi] ===
",Google Alert,lofi,pending,,70,#StudioRichCore,https://www.ainvest.com/news/stealthex-partners-lofi-100-giveaway-2507/
2025-08-12,Google Alert - Lo-Fi,https://www.ainvest.com/news/stealthex-partners-lofi-100-giveaway-2507/,"=== News - 10 new results for [Lo-Fi] ===
",Google Alert,lofi,pending,,70,#StudioRichCore,https://www.ainvest.com/news/stealthex-partners-lofi-100-giveaway-2507/
2025-08-12,Google Alert - Lo-Fi,https://www.recordoftheday.com/record-of-the-day/2025-07-21/miracle2025,"=== News - 10 new results for [Lo-Fi] ===
",Google Alert,lofi,pending,,70,#StudioRichCore,https://www.recordoftheday.com/record-of-the-day/2025-07-21/miracle2025
2025-08-12,Google Alert - Lo-Fi,https://everythingisnoise.net/weekly-featured-artist/wfa-indifferent-engine/,"=== News - 10 new results for [Lo-Fi] ===
",Google Alert,lofi,pending,,70,#StudioRichCore,https://everythingisnoise.net/weekly-featured-artist/wfa-indifferent-engine/
2025-08-12,Google Alert - Lo-Fi,https://www.youtube.com/watch?v=PD0ZqGe591I,"=== News - 10 new results for [Lo-Fi] ===
",Google Alert,lofi,pending,,70,#StudioRichCore,https://www.youtube.com/watch?v=pd0zqge591i
2025-08-12,Google Alert - Lo-Fi,https://chaoszine.net/oli-sykes-and-alissic-share-the-names-and-a-photo-of-their-children/,"=== News - 10 new results for [Lo-Fi] ===
",Google Alert,lofi,pending,,70,#StudioRichCore,https://chaoszine.net/oli-sykes-and-alissic-share-the-names-and-a-photo-of-their-children/
2025-08-12,Google Alert - Lo-Fi,https://menafn.com/1109825763/Internet-music-known-for-its-soft-playful-often-ironic-tone,"=== News - 10 new results for [Lo-Fi] ===
",Google Alert,lofi,pending,,70,#StudioRichCore,https://menafn.com/1109825763/internet-music-known-for-its-soft-playful-often-ironic-tone
2025-08-12,Google Alert - Lo-Fi,https://menafn.com/1109825763/Internet-music-known-for-its-soft-playful-often-ironic-tone,"=== News - 10 new results for [Lo-Fi] ===
",Google Alert,lofi,pending,,70,#StudioRichCore,https://menafn.com/1109825763/internet-music-known-for-its-soft-playful-often-ironic-tone
2025-08-12,Google Alert - Lofi,https://earmilk.com/2025/07/21/t-m-shares-lo-fi-heartbreak-anthem-sadderday/,"=== News - 9 new results for [Lofi] ===
",Google Alert,lofi,pending,,50,,https://earmilk.com/2025/07/21/t-m-shares-lo-fi-heartbreak-anthem-sadderday/
2025-08-12,Google Alert - Lofi,https://www.ainvest.com/news/stealthex-partners-lofi-100-giveaway-2507/,"=== News - 9 new results for [Lofi] ===
",Google Alert,lofi,pending,,50,,https://www.ainvest.com/news/stealthex-partners-lofi-100-giveaway-2507/
2025-08-12,Google Alert - Lofi,https://www.ainvest.com/news/stealthex-partners-lofi-100-giveaway-2507/,"=== News - 9 new results for [Lofi] ===
",Google Alert,lofi,pending,,50,,https://www.ainvest.com/news/stealthex-partners-lofi-100-giveaway-2507/
2025-08-12,Google Alert - Lofi,https://www.castanet.net/pressroom/pressrelease.php?id=3137,"=== News - 9 new results for [Lofi] ===
",Google Alert,lofi,pending,,50,,https://www.castanet.net/pressroom/pressrelease.php?id=3137
2025-08-12,Google Alert - Lofi,https://www.youtube.com/watch?v=rlv3eptSUj0,"=== News - 9 new results for [Lofi] ===
",Google Alert,lofi,pending,,50,,https://www.youtube.com/watch?v=rlv3eptsuj0
2025-08-12,Google Alert - Lofi,https://www.pressreader.com/sri-lanka/daily-mirror-sri-lanka/20250722/282260966501072,"=== News - 9 new results for [Lofi] ===
",Google Alert,lofi,pending,,50,,https://www.pressreader.com/sri-lanka/daily-mirror-sri-lanka/20250722/282260966501072
2025-08-12,Google Alert - Lofi,https://menafn.com/1109825763/Internet-music-known-for-its-soft-playful-often-ironic-tone,"=== News - 9 new results for [Lofi] ===
",Google Alert,lofi,pending,,50,,https://menafn.com/1109825763/internet-music-known-for-its-soft-playful-often-ironic-tone
2025-08-12,Google Alert - Lofi,https://menafn.com/1109825763/Internet-music-known-for-its-soft-playful-often-ironic-tone,"=== News - 9 new results for [Lofi] ===
",Google Alert,lofi,pending,,50,,https://menafn.com/1109825763/internet-music-known-for-its-soft-playful-often-ironic-tone
2025-08-12,Google Alert - Lofi,https://cairoscene.com/Noise/Cairo-s-New-Wave-of-Indie-Bands,"=== News - 9 new results for [Lofi] ===
",Google Alert,lofi,pending,,50,,https://cairoscene.com/noise/cairo-s-new-wave-of-indie-bands
2025-08-12,Google Alert - Lofi,https://www.youtube.com/watch?v=SXySxLgCV-8,"=== News - 9 new results for [Lofi] ===
",Google Alert,lofi,pending,,50,,https://www.youtube.com/watch?v=sxysxlgcv-8
2025-08-12,Google Alert - Lofi,https://www.laughingplace.com/disney-entertainment/fantastic-four-mickey-lofi/,"=== News - 3 new results for [Lofi] ===
",Google Alert,lofi,pending,,50,,https://www.laughingplace.com/disney-entertainment/fantastic-four-mickey-lofi/
2025-08-12,Google Alert - Lofi,https://www.fanthatracks.com/news/film-music-tv/star-wars-lofi-power-of-two-from-star-wars-lofi-vol-5-visualizer-video/,"=== News - 8 new results for [Lofi] ===
",Google Alert,lofi,pending,,50,,https://www.fanthatracks.com/news/film-music-tv/star-wars-lofi-power-of-two-from-star-wars-lofi-vol-5-visualizer-video/
2025-08-12,Google Alert - Lofi,https://www.latestly.com/socially/social-viral/lofi-girl-has-graduated-iconic-animated-character-from-youtube-channel-announces-milestone-achievement-concluding-her-long-standing-depiction-of-perpetual-study-sessions-watch-video-7032405.html,"=== News - 8 new results for [Lofi] ===
",Google Alert,lofi,pending,,50,,https://www.latestly.com/socially/social-viral/lofi-girl-has-graduated-iconic-animated-character-from-youtube-channel-announces-milestone-achievement-concluding-her-long-standing-depiction-of-perpetual-study-sessions-watch-video-7032405.html
2025-08-12,Google Alert - Lofi,https://brooklynrail.org/2025/07/artseen/daniel-johnston-i-think-i-draw-i-am/,"=== News - 8 new results for [Lofi] ===
",Google Alert,lofi,pending,,50,,https://brooklynrail.org/2025/07/artseen/daniel-johnston-i-think-i-draw-i-am/
